Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
01/01/2017,509,12:49:00 AM,Sunday,Spadina and Queens Quay,Mechanical,7,14,N/B,4426
01/01/2017,501,1:07:00 AM,Sunday,Lakeshore and Kipling,Mechanical,32,44,W/B,4071
01/01/2017,505,1:09:00 AM,Sunday,Dundas and Howard Park,Mechanical,10,20,W/B,4179
01/01/2017,506,1:15:00 AM,Sunday,High Park,Mechanical,10,20,E/B,4059
01/01/2017,506,1:18:00 AM,Sunday,Parliament,Emergency Services,10,20,E/B,4106
01/01/2017,306,1:23:00 AM,Sunday,Spadina / College,Investigation,3,13,W/B,4148
01/01/2017,501,1:25:00 AM,Sunday,Queen and Leslie,Mechanical,21,29,E/B,4246
01/01/2017,505,1:31:00 AM,Sunday,Dundas West Stn,Mechanical,10,20,E/B,4166
01/01/2017,505,1:46:00 AM,Sunday,Dundas West Station,Mechanical,10,20,W/B,4179
01/01/2017,306,2:08:00 AM,Sunday,Dundas West Station,Mechanical,10,20,E/B,4125
01/01/2017,510,2:22:00 AM,Sunday,Union Station,Held By,15,23,W/B,4408
01/01/2017,504,2:42:00 AM,Sunday,King St. West and Queen St. West,Utilized Off Route,39,49,W/B,4100
01/01/2017,514,2:42:00 AM,Sunday,King St. West and Queen St. West.,Mechanical,39,54,W/B,4428
01/01/2017,505,7:15:00 AM,Sunday,lansdowne/dundas west,Investigation,15,25,E/B,4184
01/01/2017,505,8:17:00 AM,Sunday,russell yard,Mechanical,7,14,W/B,4169
01/01/2017,501,8:30:00 AM,Sunday,Lakeshore and Kipling,Mechanical,10,20,W/B,4141
01/01/2017,504,9:20:00 AM,Sunday,Queen at Broadview,Late Leaving Garage,9,18,E/B,4142
01/01/2017,505,9:25:00 AM,Sunday,dundas/ontario,Investigation,5,12,W/B,4049
01/01/2017,511,9:45:00 AM,Sunday,Bathurst Stn,Mechanical,7,14,S/B,8315
01/01/2017,514,10:51:00 AM,Sunday,Church and King,Mechanical,10,20,W/B,4404
01/01/2017,505,12:25:00 PM,Sunday,ontario/dundas,Investigation,5,10,W/B,4182
01/01/2017,501,12:42:00 PM,Sunday,roncy yard,Late Leaving Garage,6,12,W/B,4225
01/01/2017,512,1:24:00 PM,Sunday,Gunns Loop,Mechanical,5,10,E/B,4197
01/01/2017,501,1:44:00 PM,Sunday,queen at connaught,Mechanical,6,12,W/B,4210
01/01/2017,509,2:13:00 PM,Sunday,Fleet Loop,Mechanical,4,8,E/B,4421
01/01/2017,511,2:33:00 PM,Sunday,Bathurst Station,Mechanical,5,10,S/B,1575
01/01/2017,511,2:33:00 PM,Sunday,Bathurst Stn,Mechanical,5,10,S/B,1576
01/01/2017,501,4:46:00 PM,Sunday,eastbound humber loop,Mechanical,6,12,E/B,4237
01/01/2017,511,4:59:00 PM,Sunday,Bathurst / Bloor,Emergency Services,28,8,S/B,1512
01/01/2017,506,6:10:00 PM,Sunday,Bowmore,Mechanical,1,1,W/B,4070
01/01/2017,511,6:29:00 PM,Sunday,Bathurst Station,Mechanical,3,6,S/B,1041
01/01/2017,506,6:37:00 PM,Sunday,Gerrard / Woodbine,Emergency Services,6,12,B/W,4002
01/01/2017,501,7:45:00 PM,Sunday,queen at jarvis,Mechanical,9,18,W/B,4191
01/01/2017,501,8:38:00 PM,Sunday,queen at university,Investigation,9,18,W/B,4224
01/01/2017,501,9:29:00 PM,Sunday,Neville Park,Mechanical,9,18,E/B,4084
01/01/2017,501,11:22:00 PM,Sunday,Queen and Ontario,Mechanical,9,18,W/B,4235
